,round_epochs,loss,mean_squared_error,val_loss,val_mean_squared_error,batch_size,dropout,epochs,first_neuron,losses,lr,optimizer,second_neuron
0,30,0.001117928459267436,0.0011179284192621708,0.06291539025169315,0.0629153922200203,100,0.2,30,50,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
1,50,0.025522498608746044,0.025522498413920403,0.11054297182576876,0.11054297536611557,50,0.2,50,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
2,10,0.06143570531326061,0.06143570691347122,0.16158463409606447,0.16158463060855865,100,0.2,10,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
3,30,0.4065495520522914,0.4065495431423187,50.967464447021484,50.967464447021484,300,0.2,30,20,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
4,50,0.049520629160490236,0.04952063411474228,0.8072520207006035,0.8072519898414612,100,0.0,50,50,mse,0.600004,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
5,30,0.021265589872125498,0.02126559056341648,0.4272274971008301,0.4272274971008301,300,0.2,30,128,mse,0.100009,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
6,30,0.12681886354058058,0.12681886553764343,0.040003322064876556,0.040003322064876556,300,0.2,30,128,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
7,50,0.14007080031424454,0.1400708109140396,3.1755049228668213,3.1755049228668213,300,0.2,50,128,mse,0.20000800000000002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
8,10,16.378545942994737,16.3785457611084,13.300814628601074,13.300814628601074,300,0.0,10,20,mse,0.300007,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
9,10,0.11287805466205393,0.11287806183099747,0.30419119230821623,0.3041911721229553,100,0.2,10,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
10,10,101.28716832583713,101.28717041015625,43.27238845825195,43.27238845825195,300,0.0,10,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
11,30,2.1659275461308325,2.1659276485443115,11.441541850989593,11.44154167175293,100,0.0,30,50,mse,0.9000009999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
12,10,0.5023098635612074,0.5023097991943359,2.653144041697184,2.653143882751465,50,0.0,10,20,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
13,50,0.026056491843459942,0.02605648897588253,0.2746429811132715,0.2746430039405823,50,0.0,50,50,mse,1e-05,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,20
14,50,0.002848871933981213,0.002848871983587742,0.022179093264730262,0.022179093211889267,100,0.2,50,20,mse,0.40000600000000003,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,128
15,30,0.10402718741971602,0.10402718931436539,0.9196287038478446,0.9196287393569946,50,0.2,30,50,mse,0.800002,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,50
